gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070887;TRANSMISSOR DE VAZÃO 14FT02 (GUARACÁ);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;11/09/2020;10/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070878;TRANSMISSOR DE VAZÃO 14FT01 (GUARACÁ);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;11/09/2020;10/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070913;TRANSMISSOR DE VAZÃO 01FT06 (MC006);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;14/09/2020;13/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070896;TRANSMISSOR DE VAZÃO 01FT07;ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;18/09/2020;17/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070904;TRANSMISSOR DE VAZÃO 01FT05 (MC005);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;18/09/2020;17/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070940;TRANSMISSOR DE VAZÃO 01FT01 (MC001);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;23/09/2020;22/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070959;TRANSMISSOR DE VAZÃO 01FT02 (MC002);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;23/09/2020;22/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070922;TRANSMISSOR DE VAZÃO 01FT04 (MC004);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;25/09/2020;24/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070931;TRANSMISSOR DE VAZÃO 01FT03 (MC003);ÁGUA;PREVENTIVA EM CONJº DE MEDIÇÃO DE VAZÃO ELETROMAGNÉTICOS.;SDMAG;;25/09/2020;24/10/2020;0
GRPG;QDD1;PONTA GROSSA;EEB-01 (CAPTAÇÃO ALAGADOS);QD197300;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEA;;01/09/2020;30/09/2020;6
