gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070887;TRANSMISSOR DE VAZ«O 14FT02 (GUARACµ);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;11/09/2020;10/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070878;TRANSMISSOR DE VAZ«O 14FT01 (GUARACµ);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;11/09/2020;10/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070913;TRANSMISSOR DE VAZ«O 01FT06 (MC006);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;14/09/2020;13/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070896;TRANSMISSOR DE VAZ«O 01FT07;µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;18/09/2020;17/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070904;TRANSMISSOR DE VAZ«O 01FT05 (MC005);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;18/09/2020;17/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070940;TRANSMISSOR DE VAZ«O 01FT01 (MC001);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;23/09/2020;22/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070959;TRANSMISSOR DE VAZ«O 01FT02 (MC002);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;23/09/2020;22/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070922;TRANSMISSOR DE VAZ«O 01FT04 (MC004);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;25/09/2020;24/10/2020;0
GRGA;IKJ1;GUARAPUAVA;ETA-01 ( SANTANA );IK070931;TRANSMISSOR DE VAZ«O 01FT03 (MC003);µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMAG;;25/09/2020;24/10/2020;0
GRPG;QDD1;PONTA GROSSA;EEB-01 (CAPTAÄ«O ALAGADOS);QD197300;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;01/09/2020;30/09/2020;6
GRPG;QDD2;PONTA GROSSA;EEB-02 (CAPTAÄ«O PITANGUI);QD197274;BOMBA;µGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEA;;01/09/2020;30/09/2020;4
GRPG;QDD1;PONTA GROSSA;EEB-01 (CAPTAÄ«O ALAGADOS);QD197319;EEB-01 (CAPTAÄ«O ALAGADOS);µGUA;INSPEÄ«O TERMOGRµFICA EM UNIDADES OPERACIONAIS (AT/BT);SDMEA;;01/09/2020;30/09/2020;6
GRPG;QDD2;PONTA GROSSA;EEB-02 (CAPTAÄ«O PITANGUI);QD197337;EEB-02 (CAPTAÄ«O PITANGUI);µGUA;INSPEÄ«O TERMOGRµFICA EM UNIDADES OPERACIONAIS (AT/BT);SDMEA;;01/09/2020;30/09/2020;4
GRPG;QDJ3;PONTA GROSSA;ETA-03 (ACTFLO);QD197283;LABIRINTO DE VEDAÄ«O (LADO ACIONAMENTO);µGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEA;;02/09/2020;06/09/2020;0
GRPG;QDD2;PONTA GROSSA;EEB-02 (CAPTAÄ«O PITANGUI);QD197391;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEA;;08/09/2020;12/09/2020;4
GRPG;QDJ3;PONTA GROSSA;ETA-03 (ACTFLO);QD197355;LABIRINTO DE VEDAÄ«O (LADO ACIONAMENTO);µGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEA;;09/09/2020;13/09/2020;0
GRPG;QDG3;PONTA GROSSA;EET-03 (ESCRIT‡RIO - ATENDIMENTO);QD197373;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEA;;09/09/2020;20/09/2020;2
GRPG;QDG1;PONTA GROSSA;EET-01 (JD CARVALHO - ETA);QD197346;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEA;;09/09/2020;20/09/2020;4
GRPG;OQJ2;PALMEIRA;ETA-02 (REN);OQ021412;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEA;;10/09/2020;29/09/2020;0
GRPG;QDG5;PONTA GROSSA;EET-05 (LOS ANGELES);QD197463;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEA;;14/09/2020;25/09/2020;1
GRPG;OYG1;PAPAGAIOS NOVOS (PALMEIRA);EET-01 (BOOSTER DO RAP);OY004277;EET-01 (BOOSTER DO RAP);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEA;;14/09/2020;13/10/2020;2
GRPG;OYG2;PAPAGAIOS NOVOS (PALMEIRA);EET-02 (ESTRADA DO ELEVADO);OY004286;EET-02 (ESTRADA DO ELEVADO);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEA;;14/09/2020;13/10/2020;1
GRPG;OYA1;PAPAGAIOS NOVOS (PALMEIRA);CSB-01;OY004295;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;14/09/2020;13/10/2020;1
GRPG;QDD2;PONTA GROSSA;EEB-02 (CAPTAÄ«O PITANGUI);QD197508;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEA;;15/09/2020;19/09/2020;4
GRPG;QDJ3;PONTA GROSSA;ETA-03 (ACTFLO);QD197418;LABIRINTO DE VEDAÄ«O (LADO ACIONAMENTO);µGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEA;;16/09/2020;20/09/2020;0
GRPG;QDJ3;PONTA GROSSA;ETA-03 (ACTFLO);QD197427;ROLAMENTO DO MANCAL (MICRO AREIA);µGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEA;;16/09/2020;05/10/2020;0
GRPG;QDG6;PONTA GROSSA;EET-06 (ESPLANADA);QD197436;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;18/09/2020;17/10/2020;2
GRPG;QDG9;PONTA GROSSA;EET-09 (MARIA OTILIA);QD197445;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;18/09/2020;17/10/2020;1
GRPG;QDGA;PONTA GROSSA;EET-10 (BOOSTER MOEMA);QD197454;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;18/09/2020;17/10/2020;1
GRPG;IHA4;GUARAGI (PONTA GROSSA);CSB-04;IH002864;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;21/09/2020;20/10/2020;1
GRPG;IHG1;GUARAGI (PONTA GROSSA);EET-01 (ESCRIT‡RIO);IH002873;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;21/09/2020;20/10/2020;3
GRPG;QHG4;PORTO AMAZONAS;EET-04 (BOOSTER BR);QH007210;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;22/09/2020;21/10/2020;1
GRPG;QHG1;PORTO AMAZONAS;EET-01 (BOOSTER CRISTO REI);QH007193;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;22/09/2020;21/10/2020;1
GRPG;QHG2;PORTO AMAZONAS;EET-02 (BOOSTER CACAU);QH007201;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEA;;22/09/2020;21/10/2020;1
